Date,Group,Item,Value
1984-03-01,Rural goods,Rural goods,827
1984-04-01,Rural goods,Rural goods,626
1984-05-01,Rural goods,Rural goods,894
1984-06-01,Rural goods,Rural goods,802
1984-07-01,Rural goods,Rural goods,799
1984-08-01,Rural goods,Rural goods,769
1984-09-01,Rural goods,Rural goods,695
1984-10-01,Rural goods,Rural goods,774
1984-11-01,Rural goods,Rural goods,805
1984-12-01,Rural goods,Rural goods,864
1985-01-01,Rural goods,Rural goods,755
1985-02-01,Rural goods,Rural goods,888
1985-03-01,Rural goods,Rural goods,1078
1985-04-01,Rural goods,Rural goods,985
1985-05-01,Rural goods,Rural goods,1131
1985-06-01,Rural goods,Rural goods,1026
1985-07-01,Rural goods,Rural goods,958
1985-08-01,Rural goods,Rural goods,856
1985-09-01,Rural goods,Rural goods,752
1985-10-01,Rural goods,Rural goods,916
1985-11-01,Rural goods,Rural goods,941
1985-12-01,Rural goods,Rural goods,1063
1986-01-01,Rural goods,Rural goods,995
1986-02-01,Rural goods,Rural goods,1024
1986-03-01,Rural goods,Rural goods,1086
1986-04-01,Rural goods,Rural goods,1004
1986-05-01,Rural goods,Rural goods,1048
1986-06-01,Rural goods,Rural goods,903
1986-07-01,Rural goods,Rural goods,978
1986-08-01,Rural goods,Rural goods,894
1986-09-01,Rural goods,Rural goods,948
1986-10-01,Rural goods,Rural goods,1029
1986-11-01,Rural goods,Rural goods,976
1986-12-01,Rural goods,Rural goods,1225
1987-01-01,Rural goods,Rural goods,939
1987-02-01,Rural goods,Rural goods,959
1987-03-01,Rural goods,Rural goods,1114
1987-04-01,Rural goods,Rural goods,1160
1987-05-01,Rural goods,Rural goods,1193
1987-06-01,Rural goods,Rural goods,1081
1987-07-01,Rural goods,Rural goods,1062
1987-08-01,Rural goods,Rural goods,973
1987-09-01,Rural goods,Rural goods,1115
1987-10-01,Rural goods,Rural goods,1175
1987-11-01,Rural goods,Rural goods,1307
1987-12-01,Rural goods,Rural goods,1470
1988-01-01,Rural goods,Rural goods,1316
1988-02-01,Rural goods,Rural goods,1360
1988-03-01,Rural goods,Rural goods,1427
1988-04-01,Rural goods,Rural goods,1151
1988-05-01,Rural goods,Rural goods,1225
1988-06-01,Rural goods,Rural goods,1059
1988-07-01,Rural goods,Rural goods,989
1988-08-01,Rural goods,Rural goods,1012
1988-09-01,Rural goods,Rural goods,1063
1988-10-01,Rural goods,Rural goods,1332
1988-11-01,Rural goods,Rural goods,1261
1988-12-01,Rural goods,Rural goods,1581
1989-01-01,Rural goods,Rural goods,1207
1989-02-01,Rural goods,Rural goods,1051
1989-03-01,Rural goods,Rural goods,1431
1989-04-01,Rural goods,Rural goods,1361
1989-05-01,Rural goods,Rural goods,1449
1989-06-01,Rural goods,Rural goods,1398
1989-07-01,Rural goods,Rural goods,1169
1989-08-01,Rural goods,Rural goods,1187
1989-09-01,Rural goods,Rural goods,1111
1989-10-01,Rural goods,Rural goods,1215
1989-11-01,Rural goods,Rural goods,1195
1989-12-01,Rural goods,Rural goods,1163
1990-01-01,Rural goods,Rural goods,1102
1990-02-01,Rural goods,Rural goods,1159
1990-03-01,Rural goods,Rural goods,1452
1990-04-01,Rural goods,Rural goods,1230
1990-05-01,Rural goods,Rural goods,1192
1990-06-01,Rural goods,Rural goods,1065
1990-07-01,Rural goods,Rural goods,1174
1990-08-01,Rural goods,Rural goods,961
1990-09-01,Rural goods,Rural goods,980
1990-10-01,Rural goods,Rural goods,1012
1990-11-01,Rural goods,Rural goods,1003
1990-12-01,Rural goods,Rural goods,1148
1991-01-01,Rural goods,Rural goods,886
1991-02-01,Rural goods,Rural goods,999
1991-03-01,Rural goods,Rural goods,1129
1991-04-01,Rural goods,Rural goods,1214
1991-05-01,Rural goods,Rural goods,1339
1991-06-01,Rural goods,Rural goods,1229
1991-07-01,Rural goods,Rural goods,1246
1991-08-01,Rural goods,Rural goods,1091
1991-09-01,Rural goods,Rural goods,1081
1991-10-01,Rural goods,Rural goods,1257
1991-11-01,Rural goods,Rural goods,1257
1991-12-01,Rural goods,Rural goods,1329
1992-01-01,Rural goods,Rural goods,1031
1992-02-01,Rural goods,Rural goods,1186
1992-03-01,Rural goods,Rural goods,1400
1992-04-01,Rural goods,Rural goods,1393
1992-05-01,Rural goods,Rural goods,1400
1992-06-01,Rural goods,Rural goods,1185
1992-07-01,Rural goods,Rural goods,1211
1992-08-01,Rural goods,Rural goods,1092
1992-09-01,Rural goods,Rural goods,1317
1992-10-01,Rural goods,Rural goods,1401
1992-11-01,Rural goods,Rural goods,1416
1992-12-01,Rural goods,Rural goods,1464
1993-01-01,Rural goods,Rural goods,1258
1993-02-01,Rural goods,Rural goods,1291
1993-03-01,Rural goods,Rural goods,1353
1993-04-01,Rural goods,Rural goods,1346
1993-05-01,Rural goods,Rural goods,1480
1993-06-01,Rural goods,Rural goods,1352
1993-07-01,Rural goods,Rural goods,1318
1993-08-01,Rural goods,Rural goods,1218
1993-09-01,Rural goods,Rural goods,1264
1993-10-01,Rural goods,Rural goods,1462
1993-11-01,Rural goods,Rural goods,1457
1993-12-01,Rural goods,Rural goods,1543
1994-01-01,Rural goods,Rural goods,1256
1994-02-01,Rural goods,Rural goods,1339
1994-03-01,Rural goods,Rural goods,1677
1994-04-01,Rural goods,Rural goods,1461
1994-05-01,Rural goods,Rural goods,1677
1994-06-01,Rural goods,Rural goods,1453
1994-07-01,Rural goods,Rural goods,1455
1994-08-01,Rural goods,Rural goods,1322
1994-09-01,Rural goods,Rural goods,1364
1994-10-01,Rural goods,Rural goods,1578
1994-11-01,Rural goods,Rural goods,1592
1994-12-01,Rural goods,Rural goods,1486
1995-01-01,Rural goods,Rural goods,1191
1995-02-01,Rural goods,Rural goods,1323
1995-03-01,Rural goods,Rural goods,1597
1995-04-01,Rural goods,Rural goods,1403
1995-05-01,Rural goods,Rural goods,1540
1995-06-01,Rural goods,Rural goods,1450
1995-07-01,Rural goods,Rural goods,1499
1995-08-01,Rural goods,Rural goods,1319
1995-09-01,Rural goods,Rural goods,1394
1995-10-01,Rural goods,Rural goods,1457
1995-11-01,Rural goods,Rural goods,1477
1995-12-01,Rural goods,Rural goods,1887
1996-01-01,Rural goods,Rural goods,1665
1996-02-01,Rural goods,Rural goods,1677
1996-03-01,Rural goods,Rural goods,1894
1996-04-01,Rural goods,Rural goods,1754
1996-05-01,Rural goods,Rural goods,1857
1996-06-01,Rural goods,Rural goods,1705
1996-07-01,Rural goods,Rural goods,1559
1996-08-01,Rural goods,Rural goods,1548
1996-09-01,Rural goods,Rural goods,1521
1996-10-01,Rural goods,Rural goods,1638
1996-11-01,Rural goods,Rural goods,1648
1996-12-01,Rural goods,Rural goods,1828
1997-01-01,Rural goods,Rural goods,1671
1997-02-01,Rural goods,Rural goods,1853
1997-03-01,Rural goods,Rural goods,1962
1997-04-01,Rural goods,Rural goods,1902
1997-05-01,Rural goods,Rural goods,2029
1997-06-01,Rural goods,Rural goods,1875
1997-07-01,Rural goods,Rural goods,1840
1997-08-01,Rural goods,Rural goods,1760
1997-09-01,Rural goods,Rural goods,1786
1997-10-01,Rural goods,Rural goods,1940
1997-11-01,Rural goods,Rural goods,1965
1997-12-01,Rural goods,Rural goods,2126
1998-01-01,Rural goods,Rural goods,1675
1998-02-01,Rural goods,Rural goods,1686
1998-03-01,Rural goods,Rural goods,1774
1998-04-01,Rural goods,Rural goods,1725
1998-05-01,Rural goods,Rural goods,1943
1998-06-01,Rural goods,Rural goods,1889
1998-07-01,Rural goods,Rural goods,1754
1998-08-01,Rural goods,Rural goods,1814
1998-09-01,Rural goods,Rural goods,1928
1998-10-01,Rural goods,Rural goods,1757
1998-11-01,Rural goods,Rural goods,1765
1998-12-01,Rural goods,Rural goods,2119
1999-01-01,Rural goods,Rural goods,1752
1999-02-01,Rural goods,Rural goods,1734
1999-03-01,Rural goods,Rural goods,1866
1999-04-01,Rural goods,Rural goods,1774
1999-05-01,Rural goods,Rural goods,1793
1999-06-01,Rural goods,Rural goods,1780
1999-07-01,Rural goods,Rural goods,1778
1999-08-01,Rural goods,Rural goods,1868
1999-09-01,Rural goods,Rural goods,1819
1999-10-01,Rural goods,Rural goods,1864
1999-11-01,Rural goods,Rural goods,1967
1999-12-01,Rural goods,Rural goods,2114
2000-01-01,Rural goods,Rural goods,1632
2000-02-01,Rural goods,Rural goods,2073
2000-03-01,Rural goods,Rural goods,2177
2000-04-01,Rural goods,Rural goods,2044
2000-05-01,Rural goods,Rural goods,2203
2000-06-01,Rural goods,Rural goods,2095
2000-07-01,Rural goods,Rural goods,2172
2000-08-01,Rural goods,Rural goods,2218
2000-09-01,Rural goods,Rural goods,2292
2000-10-01,Rural goods,Rural goods,2550
2000-11-01,Rural goods,Rural goods,2562
2000-12-01,Rural goods,Rural goods,2423
2001-01-01,Rural goods,Rural goods,1942
2001-02-01,Rural goods,Rural goods,2317
2001-03-01,Rural goods,Rural goods,2746
2001-04-01,Rural goods,Rural goods,2557
2001-05-01,Rural goods,Rural goods,2728
2001-06-01,Rural goods,Rural goods,2634
2001-07-01,Rural goods,Rural goods,2548
2001-08-01,Rural goods,Rural goods,2647
2001-09-01,Rural goods,Rural goods,2588
2001-10-01,Rural goods,Rural goods,2687
2001-11-01,Rural goods,Rural goods,2554
2001-12-01,Rural goods,Rural goods,2457
2002-01-01,Rural goods,Rural goods,2153
2002-02-01,Rural goods,Rural goods,2392
2002-03-01,Rural goods,Rural goods,2635
2002-04-01,Rural goods,Rural goods,2443
2002-05-01,Rural goods,Rural goods,2636
2002-06-01,Rural goods,Rural goods,2341
2002-07-01,Rural goods,Rural goods,2308
2002-08-01,Rural goods,Rural goods,2475
2002-09-01,Rural goods,Rural goods,2277
2002-10-01,Rural goods,Rural goods,2530
2002-11-01,Rural goods,Rural goods,2381
2002-12-01,Rural goods,Rural goods,2301
2003-01-01,Rural goods,Rural goods,1809
2003-02-01,Rural goods,Rural goods,1945
2003-03-01,Rural goods,Rural goods,2108
2003-04-01,Rural goods,Rural goods,1848
2003-05-01,Rural goods,Rural goods,1833
2003-06-01,Rural goods,Rural goods,1664
2003-07-01,Rural goods,Rural goods,1704
2003-08-01,Rural goods,Rural goods,1699
2003-09-01,Rural goods,Rural goods,1834
2003-10-01,Rural goods,Rural goods,1943
2003-11-01,Rural goods,Rural goods,1841
2003-12-01,Rural goods,Rural goods,2093
2004-01-01,Rural goods,Rural goods,1864
2004-02-01,Rural goods,Rural goods,2087
2004-03-01,Rural goods,Rural goods,2135
2004-04-01,Rural goods,Rural goods,2198
2004-05-01,Rural goods,Rural goods,2516
2004-06-01,Rural goods,Rural goods,2602
2004-07-01,Rural goods,Rural goods,2380
2004-08-01,Rural goods,Rural goods,2295
2004-09-01,Rural goods,Rural goods,2287
2004-10-01,Rural goods,Rural goods,2266
2004-11-01,Rural goods,Rural goods,2131
2004-12-01,Rural goods,Rural goods,2154
2005-01-01,Rural goods,Rural goods,1718
2005-02-01,Rural goods,Rural goods,2018
2005-03-01,Rural goods,Rural goods,2020
2005-04-01,Rural goods,Rural goods,2096
2005-05-01,Rural goods,Rural goods,2202
2005-06-01,Rural goods,Rural goods,2071
2005-07-01,Rural goods,Rural goods,2090
2005-08-01,Rural goods,Rural goods,2043
2005-09-01,Rural goods,Rural goods,2031
2005-10-01,Rural goods,Rural goods,2106
2005-11-01,Rural goods,Rural goods,2017
2005-12-01,Rural goods,Rural goods,2247
2006-01-01,Rural goods,Rural goods,1814
2006-02-01,Rural goods,Rural goods,2021
2006-03-01,Rural goods,Rural goods,2325
2006-04-01,Rural goods,Rural goods,2144
2006-05-01,Rural goods,Rural goods,2264
2006-06-01,Rural goods,Rural goods,2164
2006-07-01,Rural goods,Rural goods,2202
2006-08-01,Rural goods,Rural goods,2255
2006-09-01,Rural goods,Rural goods,2259
2006-10-01,Rural goods,Rural goods,2273
2006-11-01,Rural goods,Rural goods,2210
2006-12-01,Rural goods,Rural goods,2200
2007-01-01,Rural goods,Rural goods,1647
2007-02-01,Rural goods,Rural goods,1976
2007-03-01,Rural goods,Rural goods,2152
2007-04-01,Rural goods,Rural goods,1924
2007-05-01,Rural goods,Rural goods,2081
2007-06-01,Rural goods,Rural goods,1911
2007-07-01,Rural goods,Rural goods,1893
2007-08-01,Rural goods,Rural goods,1863
2007-09-01,Rural goods,Rural goods,2006
2007-10-01,Rural goods,Rural goods,1945
2007-11-01,Rural goods,Rural goods,1963
2007-12-01,Rural goods,Rural goods,2252
2008-01-01,Rural goods,Rural goods,1830
2008-02-01,Rural goods,Rural goods,2136
2008-03-01,Rural goods,Rural goods,2371
2008-04-01,Rural goods,Rural goods,2434
2008-05-01,Rural goods,Rural goods,2627
2008-06-01,Rural goods,Rural goods,2174
2008-07-01,Rural goods,Rural goods,2155
2008-08-01,Rural goods,Rural goods,2294
2008-09-01,Rural goods,Rural goods,2218
2008-10-01,Rural goods,Rural goods,2686
2008-11-01,Rural goods,Rural goods,2509
2008-12-01,Rural goods,Rural goods,2626
2009-01-01,Rural goods,Rural goods,2197
2009-02-01,Rural goods,Rural goods,2540
2009-03-01,Rural goods,Rural goods,2986
2009-04-01,Rural goods,Rural goods,2498
2009-05-01,Rural goods,Rural goods,2487
2009-06-01,Rural goods,Rural goods,2233
2009-07-01,Rural goods,Rural goods,2133
2009-08-01,Rural goods,Rural goods,2091
2009-09-01,Rural goods,Rural goods,1985
2009-10-01,Rural goods,Rural goods,1904
2009-11-01,Rural goods,Rural goods,1911
2009-12-01,Rural goods,Rural goods,2211
2010-01-01,Rural goods,Rural goods,1863
2010-02-01,Rural goods,Rural goods,2107
