            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"International Trade: Supplementary Information, Calendar Year, 2024",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 29 April 2025,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 Merchandise Exports, by Selected Countries, by Six Month Aggregates, FOB Value, $m",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Free on Board (FOB) Value (a),,,,,,,,,,,,,,,,,,,,,,
,($m),,,,,,,,,,,,,,,,,,,,,,
Country of Final Destination,July 2013 to December 2013,January 2014 to June 2014,July 2014 to December 2014,January 2015 to June 2015,July 2015 to December 2015,January 2016 to June 2016,July 2016 to December 2016,January 2017 to June 2017,July 2017 to December 2017,January 2018 to June 2018,July 2018 to December 2018,January 2019 to June 2019,July 2019 to December 2019,January 2020 to June 2020,July 2020 to December 2020,January 2021 to June 2021,July 2021 to December 2021,January 2022 to June 2022,July 2022 to December 2022,January 2023 to June 2023,July 2023 to December 2023,January 2024 to June 2024,July 2024 to December 2024 (b)
Singapore,np,np,np,4067,2851,np,np,np,np,4234,5609,np,np,5547,6526,6787,8817,8685,10644,8943,8324,9539,8907
South Africa,674,603,629,672,594,491,517,650,790,832,874,np,705,574,563,804,824,1007,808,877,834,np,np
Spain,np,np,np,np,np,225,np,np,np,np,473,271,np,189,405,312,np,852,580,625,382,453,294
Sweden,157,np,np,np,146,np,np,np,np,209,212,279,239,180,157,140,203,519,455,np,np,np,np
Switzerland,np,365,np,np,428,562,np,np,np,np,np,np,np,np,np,734,np,924,1539,1044,1365,908,1155
Taiwan,3771,3630,3497,3372,3098,3348,4331,4301,4673,4763,5926,6478,6366,5476,4638,6487,9810,13840,16157,12758,9476,9814,8874
Thailand,2236,2523,2645,2365,1956,1615,1953,1951,2526,2798,3751,2409,2083,2168,1847,3314,3418,4458,3596,5799,3336,3982,3036
Türkiye,np,np,np,190,np,np,np,583,np,np,np,np,np,np,204,429,np,np,np,725,np,599,np
United Arab Emirates,1348,1392,1568,np,1650,1433,1461,1651,np,1783,2145,2034,1661,1660,1187,1486,1584,2419,2517,2391,2295,2769,2728
"United Kingdom, Channel Islands and Isle of Man, nfd",1865,1821,1944,1738,2050,5110,5038,2261,3888,2577,2456,5440,9916,5890,9034,2943,1795,1565,1602,2644,3328,3573,6145
United States of America,5277,5349,6540,6816,7408,6304,6131,6170,6100,6153,7293,7435,7757,10177,9448,7822,8782,9770,11048,10479,10977,10935,13420
Vietnam,1150,1600,1487,1782,1702,1894,np,np,2261,2229,2806,3092,3039,np,3204,4519,5178,7377,6524,6173,5913,5202,np
,,,,,,,,,,,,,,,,,,,,,,,
Total All Countries (c),138457.021949,134463.582014,131458.214295,123092,126520,116903,141565,149315,152020,162458,182157,190465,199516,182472,180255,214770,243399,287726,306137,284303,274321,260504,256511
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
- nil or rounded to zero (including null cells),,,,,,,,,,,,,,,,,,,,,,,
np not available for publication,,,,,,,,,,,,,,,,,,,,,,,
(a) Country aggregates presented in this table represent total merchandise trade with these countries.,,,,,,,,,,,,,,,,,,,,,,,
(b) The July 2024 to December 2024 country estimates are preliminary as at the January 2025 reference month. The country aggregates in all other periods represent final data as at the December 2024 reference month.,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes merchandise exports for all countries including those not shown in this table.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
