            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"International Trade: Supplementary Information, Calendar Year, 2024",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 29 April 2025,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Merchandise Imports, by Selected Countries, by Six Month Aggregates, Customs Value, $m",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Customs Value (a),,,,,,,,,,,,,,,,,,,,,,
,($m),,,,,,,,,,,,,,,,,,,,,,
Country of Origin,July 2013 to December 2013,January 2014 to June 2014,July 2014 to December 2014,January 2015 to June 2015,July 2015 to December 2015,January 2016 to June 2016,July 2016 to December 2016,January 2017 to June 2017,July 2017 to December 2017,January 2018 to June 2018,July 2018 to December 2018,January 2019 to June 2019,July 2019 to December 2019,January 2020 to June 2020,July 2020 to December 2020,January 2021 to June 2021,July 2021 to December 2021,January 2022 to June 2022,July 2022 to December 2022,January 2023 to June 2023,July 2023 to December 2023 ,January 2024 to June 2024,July 2024 to December 2024 (b)
Singapore,6273,6813,5900,4909,4417,3334,3796,4502,np,np,5970,4904,5473,3719,3670,5187,7625,10190,9271,7904,8309,7987,7064
South Africa,521,376,np,546,np,np,np,504,613,500,666,np,582,np,np,np,np,np,np,np,np,1096,1039
Spain,1292,2056,1031,983,1097,np,np,1011,1178,np,1254,1524,1127,975,1479,1562,1438,1150,1682,1602,1573,1718,1957
Sweden,np,np,990,935,1006,np,957,1194,1094,1574,1139,1139,996,910,948,1113,1145,1244,1294,1383,1257,1669,1186
Switzerland,1584,1405,1439,1568,np,np,np,1535,1502,np,1697,1759,1784,1676,1782,1837,1748,1947,2019,2189,2091,2037,2207
Taiwan,2109,2040,2474,2379,2426,2127,2312,2126,2250,2313,2683,2750,2712,2681,2443,2791,4019,5352,6149,4717,4694,5046,np
Thailand,6024,5037,5901,6234,np,np,np,6750,7645,7382,7551,7036,7843,6709,7577,7397,7694,7972,9420,8588,10765,10206,10001
Türkiye,np,np,np,435,384,607,388,412,435,496,544,577,556,554,605,677,706,746,np,747,791,909,1003
United Arab Emirates,2004,1242,1579,1539,935,np,np,np,np,np,np,np,np,np,np,np,np,np,841,np,837,1102,np
"United Kingdom, Channel Islands and Isle of Man, nfd",3317,3023,3131,3201,np,3648,np,3200,3676,3624,3607,3621,3603,3349,3651,3850,3289,3665,3732,3976,4093,4123,3623
